,cancer_type,Full-data acc.,Full-data comp. time,PCA components,PCA calc. time,PCA explained variance,PCA acc.,Precision,Recall,F1Score
14,LGG,0.9611650485436893,0.8523444533348083,2,0.01094675064086914,0.21242825527799422,0.9514563106796117,[0.95918367 0.94444444],[0.94       0.96226415],[0.94949495 0.95327103]
15,MESO,1.0,0.34571152925491333,2,0.0034545063972473145,0.15162438440468023,0.8888888888888888,[0.81818182 1.        ],[1.         0.77777778],[0.9   0.875]
16,LAML,1.0,0.38211023807525635,2,0.00426095724105835,0.22580755144923748,1.0,[1. 1.],[1. 1.],[1. 1.]
17,BLCA,0.9047619047619048,1.0424861907958984,2,0.0048950910568237305,0.134859620044693,0.7976190476190477,[0.83333333 0.77083333],[0.73170732 0.86046512],[0.77922078 0.81318681]
18,OV,1.0,0.6615402102470398,2,0.005262553691864014,0.12704951570362946,0.9508196721311475,[0.96551724 0.9375    ],[0.93333333 0.96774194],[0.94915254 0.95238095]
19,LUSC,0.9532710280373832,1.1818572878837585,2,0.007319927215576172,0.12584112860001986,0.7850467289719626,[0.76363636 0.80769231],[0.80769231 0.76363636],[0.78504673 0.78504673]
20,ACC,1.0,0.3275720477104187,2,0.003878474235534668,0.1676140039111843,1.0,[1. 1.],[1. 1.],[1. 1.]
21,THYM,0.9583333333333334,0.3324267864227295,2,0.0038865208625793457,0.21325895172462883,0.9166666666666666,[1.         0.85714286],[0.83333333 1.        ],[0.90909091 0.92307692]
22,ESCA,1.0,0.5301505327224731,2,0.003842949867248535,0.14823771971849703,1.0,[1. 1.],[1. 1.],[1. 1.]
23,PAAD,0.9722222222222222,0.5075307488441467,2,0.0034563541412353516,0.13734026974306968,0.6666666666666666,[0.71428571 0.63636364],[0.55555556 0.77777778],[0.625 0.7  ]
24,LIHC,0.975609756097561,0.601043164730072,2,0.006378471851348877,0.18257399327592475,0.9512195121951219,[0.95       0.95238095],[0.95       0.95238095],[0.95       0.95238095]
25,SARC,0.9803921568627451,0.5318350195884705,2,0.004102587699890137,0.12896807003404526,0.9411764705882353,[1.         0.89655172],[0.88 1.  ],[0.93617021 0.94545455]
26,GBM,1.0,0.4150800108909607,2,0.003788769245147705,0.17468137156085484,0.9705882352941176,[0.94444444 1.        ],[1.         0.94117647],[0.97142857 0.96969697]
27,TGCT,1.0,0.39005887508392334,2,0.004711031913757324,0.20127994788305859,0.9375,[0.9375 0.9375],[0.9375 0.9375],[0.9375 0.9375]
28,KICH,0.9,0.5808490514755249,2,0.004671454429626465,0.19677820758964198,0.9,[0.9 0.9],[0.9 0.9],[0.9 0.9]
29,PCPG,1.0,67.53129720687866,2,0.023778021335601807,0.20232288912385354,1.0,[1. 1.],[1. 1.],[1. 1.]
30,UCS,0.9166666666666666,0.46901237964630127,2,0.003904998302459717,0.17939655397094373,0.8333333333333334,[0.83333333 0.83333333],[0.83333333 0.83333333],[0.83333333 0.83333333]
31,UVM,1.0,0.6175845861434937,2,0.004203855991363525,0.251486005293989,1.0,[1. 1.],[1. 1.],[1. 1.]
32,CHOL,0.9,0.3865699768066406,2,0.005291104316711426,0.18319916892037325,0.9,[1.         0.83333333],[0.8 1. ],[0.88888889 0.90909091]
33,BRCA,0.9826839826839827,2.333146631717682,5,0.008411765098571777,0.23565902550803652,0.8658008658008658,[0.84210526 0.88888889],[0.88073394 0.85245902],[0.86098655 0.87029289]
34,LUAD,1.0,1.16041100025177,5,0.004867970943450928,0.2275770587882134,0.8288288288288288,[0.84313725 0.81666667],[0.7962963  0.85964912],[0.81904762 0.83760684]
35,DLBC,1.0,0.27499866485595703,5,0.005447685718536377,0.3957298040407652,1.0,[1. 1.],[1. 1.],[1. 1.]
36,UCEC,0.9724770642201835,1.1631473302841187,5,0.005871236324310303,0.24160389886636127,0.908256880733945,[0.92156863 0.89655172],[0.88679245 0.92857143],[0.90384615 0.9122807 ]
37,SKCM,0.9782608695652174,1.0997730493545532,5,0.006748378276824951,0.246089930664131,0.9891304347826086,[1.         0.97916667],[0.97777778 1.        ],[0.98876404 0.98947368]
38,PRAD,1.0,0.7730562686920166,5,0.006150305271148682,0.2695581809383896,1.0,[1. 1.],[1. 1.],[1. 1.]
39,HNSC,0.9724770642201835,1.1718243956565857,5,0.005628347396850586,0.26541605683897024,0.963302752293578,[0.96226415 0.96428571],[0.96226415 0.96428571],[0.96226415 0.96428571]
40,KIRP,0.9538461538461539,0.7938861846923828,5,0.006053626537322998,0.2795838920318848,0.9846153846153847,[0.96969697 1.        ],[1.         0.96969697],[0.98461538 0.98461538]
41,CESC,0.8852459016393442,0.8416871428489685,5,0.0064141154289245605,0.24186302971628781,0.7868852459016393,[0.77419355 0.8       ],[0.8        0.77419355],[0.78688525 0.78688525]
42,THCA,1.0,0.7238590717315674,5,0.007336020469665527,0.27890692907031533,1.0,[1. 1.],[1. 1.],[1. 1.]
